dataset,validation_level,method,predecessor_method,n,target,treatment_col,ate,se,ci_low,ci_high,adjusted_target_variance,variance_reduction_vs_ab_pct,sample_size_reduction_vs_ab_pct,variance_reduction_vs_cupac_A_pct,sample_size_reduction_vs_cupac_A_pct,incremental_variance_reduction_vs_predecessor_pct,incremental_sample_size_reduction_vs_predecessor_pct,feature_groups_used,n_features_used,safety_status,diagnostic_notes
hillstrom,A_only_real,ab_hypex,,64000,target,treatment,0.596796,0.112556,0.376185,0.817407,226.094772,0.0,0.0,-0.057656,-0.057656,,,—,0,ok,"hypex A/B parity: ate=0.5968, p=1.15e-07"
hillstrom,A_only_real,sklearn_cupac_A,ab_hypex,64000,target,treatment,0.595344,0.11252,0.374804,0.815885,225.964491,0.057622,0.057622,0.0,0.0,0.057622,0.057622,A,18,ok,cupac best_model=Lasso
orange_belgium,A_only_real,ab_hypex,,11896,target,treatment,-0.002753,0.00397,-0.010536,0.005029,0.033124,0.0,0.0,-6.446446,-6.446446,,,—,0,ok,"hypex A/B parity: ate=-0.0028, p=0.488"
orange_belgium,A_only_real,sklearn_cupac_A,ab_hypex,11896,target,treatment,-0.000946,0.003853,-0.008501,0.006608,0.031118,6.056047,6.056047,0.0,0.0,6.056047,6.056047,A,336,ok,cupac best_model=Ridge
lazada_descn,A_only_real,ab_hypex,,181669,target,treatment,0.00374,0.000864,0.002047,0.005432,0.033968,0.0,0.0,-5.714742,-5.714742,,,—,0,ok,"hypex A/B parity: ate=0.0037, p=1.49e-05"
lazada_descn,A_only_real,sklearn_cupac_A,ab_hypex,181669,target,treatment,0.003659,0.00084,0.002013,0.005306,0.032131,5.405814,5.405814,0.0,0.0,5.405814,5.405814,A,83,ok,cupac best_model=Ridge
criteo_private_ad,D_F_sandbox,ab_hypex,,10000,target,treatment,-0.017586,0.009735,-0.036668,0.001496,0.235981,0.0,0.0,-23.77901,-23.77901,,,—,0,ok,"hypex A/B parity: ate=-0.0176, p=0.0709"
criteo_private_ad,D_F_sandbox,sklearn_cupac_A,ab_hypex,10000,target,treatment,-0.017305,0.008791,-0.034538,-7.2e-05,0.190647,19.210858,19.210858,0.0,0.0,19.210858,19.210858,A,18,ok,cupac best_model=Ridge
dunnhumby,C_D_sandbox,ab_hypex,,2469,target,treatment,118.168974,5.648201,107.091585,129.246363,21755.618124,0.0,0.0,-137.533071,-137.533071,,,—,0,ok,"hypex A/B parity: ate=118.1690, p=1.46e-87"
dunnhumby,C_D_sandbox,sklearn_cupac_A,ab_hypex,2469,target,treatment,-0.15,4.000346,-7.995612,7.695613,9158.98491,57.900599,57.900599,0.0,0.0,57.900599,57.900599,A,49,ok,cupac best_model=Lasso
lenta,A_only_real,ab_hypex,,687029,target,treatment,0.007547,0.000853,0.005875,0.009219,0.096529,0.0,0.0,-16.769292,-16.769292,,,—,0,ok,"hypex A/B parity: ate=0.0075, p=9.11e-19"
lenta,A_only_real,sklearn_cupac_A,ab_hypex,687029,target,treatment,0.006421,0.000792,0.004869,0.007973,0.082666,14.361046,14.361046,0.0,0.0,14.361046,14.361046,A,196,ok,cupac best_model=Linear
x5_retailhero,A_only_real,ab_hypex,,200039,target,treatment,0.033231,0.002169,0.028979,0.037483,0.235628,0.0,0.0,-19.194042,-19.194042,,,—,0,ok,"hypex A/B parity: ate=0.0332, p=6.18e-53"
x5_retailhero,A_only_real,sklearn_cupac_A,ab_hypex,200039,target,treatment,0.032648,0.001987,0.028754,0.036542,0.197684,16.103189,16.103189,0.0,0.0,16.103189,16.103189,A,10,ok,cupac best_model=Ridge
dunnhumby,C_D_sandbox,sklearn_cupac_A_plus_C_sandbox,sklearn_cupac_A,2469,target,treatment,0.771114,3.936715,-6.949704,8.491933,8870.211253,59.228,59.228,3.1529,3.1529,1.3274,1.3274,C,3,sandbox_demo,"C-sandbox (constructed, не реальная B/C): var.red 57.9%→59.2%; observational treatment — ATE неинтерпретируем как causal"
criteo_private_ad,D_F_sandbox,unsafe_demo_A_plus_F_leakage,sklearn_cupac_A,10000,target,treatment,-0.000775,0.002488,-0.005653,0.004102,0.015377,93.4839,93.4839,91.9344,91.9344,74.2731,74.2731,F,6,unsafe_demo,"F-leakage демо: ATE -0.0173→-0.0008, var.red 19.2%→93.5% — лишняя «эффективность» за счёт утечки исхода; запрещён в estimator"
